Код_товару;Назва_позиції;Назва_позиції_укр;Пошукові_запити;Пошукові_запити_укр
20742;Комбинированный тюнер Openbox SX2 Combo HD прошитый с каналами;Комбінований тюнер Openbox SX2 Combo HD прошитий з каналами;"комбинированный ресивер, спутниковое эфирное телевидение, hd качество, универсальное подключение, настройка, оборудование";"комбінований ресивер, супутникове ефірне телебачення, hd якість, універсальне підключення, налаштування, обладнання"
20743;Спутниковый тюнер Sat-Integral S-1218 HD  прошитый с каналами;Супутниковий тюнер Sat-Integral S-1218 HD прошитий  з каналами;"спутниковый ресивер, цифровое телевидение, стабильный прием, hd качество, подключение антенны, настройка, оборудование";"супутниковий ресивер, цифрове телебачення, стабільний прийом, hd якість, підключення антени, налаштування, обладнання"
20745;Тюнер т2 World Vision T644M3 FM;Тюнер т2 World Vision T644M3 FM;"цифровой эфирный ресивер, dvb t2, поддержка fm радио, hd изображение, usb запись, стабильный прием, медиаплеер";"цифровий ефірний ресивер, dvb t2, підтримка fm радіо, hd зображення, usb запис, стабільний прийом, медіаплеєр"
20746;Тюнер т2 World Vision T644B FM;Тюнер т2 World Vision T644B FM;"цифровой эфирный ресивер, dvb t2, fm радиоприемник, hd качество, usb медиаплеер, стабильная работа, компактный корпус";"цифровий ефірний ресивер, dvb t2, fm радіоприймач, hd якість, usb медіаплеєр, стабільна робота, компактний корпус"
20747;Тюнер т2 World Vision Т645A FM с обучаемым пультом;Тюнер т2 World Vision Т645A FM з навчаємим пультом;"эфирный т2 ресивер, обучаемый пульт, dvb t2 прием, fm радио, hd изображение, удобное управление, usb функции";"ефірний т2 ресивер, навчальний пульт, dvb t2 прийом, fm радіо, hd зображення, зручне керування, usb функції"
20748;Тюнер т2 World Vision Т645A  LAN FM VideoCast 300 IPTV;Тюнер т2 World Vision Т645A  LAN FM VideoCast 300 IPTV;"эфирный т2 ресивер, lan подключение, iptv поддержка, fm радио, hd видео, сетевые функции, videocast трансляция";"ефірний т2 ресивер, lan підключення, iptv підтримка, fm радіо, hd відео, мережеві функції, videocast трансляція"
20749;Комплект Тюнер т2 World Vision T644M3 FM VideoCast Wi-Fi 3dB 300 IPTV;Комплект Тюнер т2 World Vision T644M3 FM VideoCast Wi-Fi 3dB 300 IPTV;"комплект т2 ресивер, wifi адаптер, iptv поддержка, fm радио, dvb t2 прием, videocast, стабильная работа";"комплект т2 ресивер, wifi адаптер, iptv підтримка, fm радіо, dvb t2 прийом, videocast, стабільна робота"
20750;Комплект Тюнер т2 World Vision T644B FM VideoCast Wi-Fi 3dB 300 IPTV;Комплект Тюнер т2 World Vision T644B FM VideoCast Wi-Fi 3dB 300 IPTV;"комплект т2 ресивер, wifi модуль, iptv трансляции, fm радио, dvb t2 сигнал, мультимедиа функции";"комплект т2 ресивер, wifi модуль, iptv трансляції, fm радіо, dvb t2 сигнал, мультимедійні функції"
20751;Комплект Тюнер т2 World Vision Т645A FM VideoCast Wi-Fi 3dB 300 IPTV;Комплект Тюнер т2 World Vision Т645A FM VideoCast Wi-Fi 3dB 300 IPTV;"комплект т2 ресивер, wifi подключение, iptv сервисы, fm радио, dvb t2 прием, videocast поддержка";"комплект т2 ресивер, wifi підключення, iptv сервіси, fm радіо, dvb t2 прийом, videocast підтримка"
20752;Комбинированный тюнер Q-BOX Combo прошитый с каналами;Комбінований тюнер Q-BOX Combo прошитий з каналами;"комбинированный ресивер, dvb s2 t2, прошивка с каналами, hd качество, универсальный прием, стабильная работа";"комбінований ресивер, dvb s2 t2, прошивка з каналами, hd якість, універсальний прийом, стабільна робота"
20762;Приставка смарт X96 MAX PLUS ULTRA 4/32 GB ANDROID 11  с обновлением ПО;Приставка смарт X96 MAX PLUS ULTRA 4/32 GB ANDROID 11 з оновленням ПО;"смарт тв приставка android, 4gb оперативная память, 32gb хранилище, поддержка 4k, wifi соединение, стабильная прошивка";"смарт тв приставка android, 4gb оперативна памʼять, 32gb сховище, підтримка 4k, wifi зʼєднання, стабільна прошивка"
20763;Приставка смарт X98Q 2/16 Android 11.0 с обновлением ПО;Приставка смарт X98Q 2/16 Android 11.0 з оновленням ПО;"android тв приставка, 2gb оперативная память, 16gb накопитель, поддержка потокового видео, wifi, обновляемое по";"android тв приставка, 2gb оперативна памʼять, 16gb накопичувач, підтримка потокового відео, wifi, оновлюване по"
20704;Конвертер  Eurosky USP-5CP Circular;Конвертер Eurosky USP-5CP Circular;"спутниковый конвертер circular, eurosky usp-5cp, прием сигнала, спутниковое телевидение, оборудование, установка, подключение, lnb, стабильный сигнал";"супутниковий конвертор circular, eurosky usp-5cp, прийом сигналу, супутникове телебачення, обладнання, встановлення, підключення, lnb, стабільний сигнал"
20705;Спутниковый конвертер на один выход;Супутниковий конвертор на один вихід;"спутниковый конвертер single, один выход, прием сигнала, спутниковая антенна, подключение тюнера, оборудование, lnb, цифровое тв";"супутниковий конвертор single, один вихід, прийом сигналу, супутникова антена, підключення тюнера, обладнання, lnb, цифрове тб"
20706;Спутниковый конвертер TWIN на два выхода;Супутниковий конвертор TWIN на два виходи;"спутниковый конвертер twin, два выхода, подключение двух тюнеров, прием сигнала, спутниковое телевидение, оборудование, lnb, цифровое тв";"супутниковий конвертор twin, два виходи, підключення двох тюнерів, прийом сигналу, супутникове телебачення, обладнання, lnb, цифрове тб"
20707;Спутниковый конвертер QUAD на четыре выхода;Супутниковий конвертор QUAD на чотири виходи;"спутниковый конвертер quad, четыре выхода, подключение тюнеров, прием сигнала, спутниковое телевидение, оборудование, lnb, цифровое тв";"супутниковий конвертор quad, чотири виходи, підключення тюнерів, прийом сигналу, супутникове телебачення, обладнання, lnb, цифрове тб"
20708;Переключатель DiseQ 1*4 герметичный;Перемикач DiseQ 1*4 герметичний;"переключатель diseqc 1x4, герметичный корпус, спутниковое телевидение, подключение конвертеров, управление сигналом, установка, оборудование, надежный";"перемикач diseqc 1x4, герметичний корпус, супутникове телебачення, підключення конверторів, керування сигналом, встановлення, обладнання, надійний"
20709;Переключатель DiseQ 1*4;Перемикач DiseQ 1*4;"переключатель diseqc 1x4, спутниковая антенна, управление сигналом, подключение оборудования, установка, коммутатор, телевидение";"перемикач diseqc 1x4, супутникова антена, керування сигналом, підключення обладнання, встановлення, комутатор, телебачення"
20710;Переключатель DiseQ 1*8;Перемикач DiseQ 1*8;"переключатель diseqc 1x8, подключение нескольких конвертеров, спутниковое телевидение, управление сигналом, коммутатор, оборудование";"перемикач diseqc 1x8, підключення кількох конверторів, супутникове телебачення, керування сигналом, комутатор, обладнання"
20714;Разветвитель DATIX S-2 DS Сплиттер;Розгалужувач DATIX S-2 DS Спліттер;"сплиттер телевизионного сигнала, datix s2, деление сигнала, эфирное телевидение, подключение антенны, т2 тюнеры, пассивный, стабильный сигнал";"спліттер телевізійного сигналу, datix s2, поділ сигналу, ефірне телебачення, підключення антени, т2 тюнери, пасивний, стабільний сигнал"
20715;Разветвитель DATIX S-3 DS Сплиттер;Розгалужувач DATIX S-3 DS Спліттер;"сплиттер телевизионного сигнала, datix s3, распределение сигнала, эфирное тв, подключение нескольких тюнеров, антенна, пассивный, надежный";"спліттер телевізійного сигналу, datix s3, розподіл сигналу, ефірне тб, підключення кількох тюнерів, антена, пасивний, надійний"
20716;Разветвитель DATIX S-4 DS Сплиттер;Розгалужувач DATIX S-4 DS Спліттер;"сплиттер телевизионного сигнала, datix s4, делитель антенны, эфирное телевидение, подключение тюнеров, пассивное оборудование, стабильность";"спліттер телевізійного сигналу, datix s4, дільник антени, ефірне телебачення, підключення тюнерів, пасивне обладнання, стабільність"
20744;Антенна спутниковая СА- 901;Антена супутникова СА- 901;"спутниковая антенна, прием сигнала, спутниковое телевидение, установка оборудования, стабильный сигнал, монтаж";"супутникова антена, прийом сигналу, супутникове телебачення, встановлення обладнання, стабільний сигнал, монтаж"
20711;Крепление 2-го конвертора;Кріплення 2-го конвертора;"крепление дополнительного конвертера, мультифид, спутниковая антенна, установка, монтаж, аксессуары, держатель, металл";"кріплення додаткового конвертора, мультифід, супутникова антена, встановлення, монтаж, аксесуари, тримач, метал"
20731;Коннектор RJ-45 CONNECTOR 8P8C Cat-5;Конектор RJ-45 CONNECTOR 8P8C Cat-5;"сетевой коннектор, витая пара, передача данных, локальная сеть, монтаж кабеля, интернет оборудование, подключение, установка";"мережевий конектор, вита пара, передача даних, локальна мережа, монтаж кабелю, інтернет обладнання, підключення, встановлення"
20736;Кабель 6х0.22мм в экране;Кабель 6х0.22мм у екрані;"многожильный кабель, экранированный, системы безопасности, передача сигнала, монтаж видеонаблюдения, проводка, оборудование";"багатожильний кабель, екранований, системи безпеки, передача сигналу, монтаж відеоспостереження, проводка, обладнання"
20737;Кабель 4х0.22мм в экране;Кабель 4х0.22мм  у екрані;"многожильный кабель, экранированный, охранные системы, передача сигнала, монтаж оборудования, проводка, электроника";"багатожильний кабель, екранований, охоронні системи, передача сигналу, монтаж обладнання, проводка, електроніка"
20738;Кабель F660BV  FinMark;Кабель F660BV FinMark;"коаксиальный кабель, спутниковое телевидение, передача сигнала, антенное подключение, монтаж системы, стабильное качество";"коаксіальний кабель, супутникове телебачення, передача сигналу, антенне підключення, монтаж системи, стабільна якість"
20728;Разъем BNC под F;Роз'єм BNC під F;"разъем bnc f, подключение видеокамер, системы видеонаблюдения, переходник сигнала, монтаж оборудования";"розʼєм bnc f, підключення відеокамер, системи відеоспостереження, перехідник сигналу, монтаж обладнання"
20729;Разъем  JF5121;Роз'єм JF5121;"электрический разъем, монтаж оборудования, надежное соединение, контактная группа, электроника, сервисное подключение, установка";"електричний розʼєм, монтаж обладнання, надійне зʼєднання, контактна група, електроніка, сервісне підключення, встановлення"
20730;Разъем  MD1620 для питания видеокамер;Роз'єм MD1620 для живлення відеокамер;"разъем питания камер, подключение видеонаблюдения, стабильное напряжение, монтаж кабеля, охранные системы, электроника, установка";"розʼєм живлення камер, підключення відеоспостереження, стабільна напруга, монтаж кабелю, охоронні системи, електроніка, встановлення"
20733;F-коннектор RG-6 TRILINK;F-конектор RG-6 TRILINK;"f коннектор, коаксиальный кабель, спутниковое телевидение, подключение антенны, надежный контакт, монтаж, оборудование";" f конектор, коаксіальний кабель, супутникове телебачення, підключення антени, надійний контакт, монтаж, обладнання"
20734;Разъём TVF / папа;Роз'єм TVF / тато;"tv разъем папа, подключение антенны, телевизионный сигнал, монтаж кабеля, эфирное телевидение, надежное соединение";" tv розʼєм тато, підключення антени, телевізійний сигнал, монтаж кабелю, ефірне телебачення, надійне зʼєднання"
20735;Разъём TVF / мама;Роз'єм TVF / мама;"tv разъем мама, подключение кабеля, телевизионный сигнал, монтаж оборудования, эфирное телевидение, стабильный контакт";" tv розʼєм мама, підключення кабелю, телевізійний сигнал, монтаж обладнання, ефірне телебачення, стабільний контакт"
20718;Переходник Scart - RCA двусторонний;Перехідник Scart - RCA двосторонній;"переходник scart rca, подключение старых телевизоров, аудио видео сигнал, двусторонний адаптер, совместимость оборудования";"перехідник scart rca, підключення старих телевізорів, аудіо відео сигнал, двосторонній адаптер, сумісність обладнання"
20701;Блок питания 3А/12В;Блок живлення 3А/12В;"блок питания 12в 3а, источник питания, системы безопасности, видеонаблюдение, автоматика, стабилизированное питание, оборудование, электроника, монтаж";"блок живлення 12в 3а, джерело живлення, системи безпеки, відеоспостереження, автоматика, стабілізоване живлення, обладнання, електроніка, монтаж"
20702;Блок питания 6А/12В;Блок живлення 6А/12В;"блок питания 12в 6а, источник питания, видеонаблюдение, контроль доступа, системы безопасности, автоматика, оборудование, стабилизированное питание";"блок живлення 12в 6а, джерело живлення, відеоспостереження, контроль доступу, системи безпеки, автоматика, обладнання, стабілізоване живлення"
20713;Блок питания  12в 2а для тюнера Т2;Блок живлення 12 в 2а для тюнера Т2;"блок питания 12в 2а, для тюнера т2, стабильное питание, электроника, адаптер, замена, подключение";"блок живлення 12в 2а, для тюнера т2, стабільне живлення, електроніка, адаптер, заміна, підключення"
20723;"Блок питания 5в 1,2 а для тюнера Т2 и смарт приставки";"Блок живлення 5в 1,2 а для тюнера Т2 і смарт приставки";"блок питания 5v, т2 тюнер, смарт приставка, стабильное напряжение, адаптер питания, электроника, подключение";"блок живлення 5v, т2 тюнер, смарт приставка, стабільна напруга, адаптер живлення, електроніка, підключення"
